ID_subjsess,ID_subj,ID_sess,ID_sex,ID_agegroup,ID_bdate,ID_tdate,ID_race,ID_ethnicity,ID_weight1,ID_weight2,ID_height1,ID_height2,ID_rightleg1,ID_rightleg2,ID_leftleg1,ID_leftleg2,ID_locomotor,onset,offset,task_ordinal,task_task,computervision_ordinal,computervision_videopreset,usedata_ordinal,usedata_playdata,object1_ordinal,object1_obj,object1_action_state_ordinal,object1_action_state_obj,object1_action_state_action,object1_action_state_noise,object1_action_state_detach,object1_action_state_reattach,object1_action_state_takeout,object1_action_state_putin,object1_action_state_popup,object1_action_state_hidden,object1_action_state_open,object1_action_state_close,object2_ordinal,object2_obj,object2_action_state_ordinal,object2_action_state_obj,object2_action_state_action,object2_action_state_noise,object2_action_state_detach,object2_action_state_reattach,object2_action_state_takeout,object2_action_state_putin,object2_action_state_popup,object2_action_state_hidden,object2_action_state_open,object2_action_state_close
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1234778,1236852,2,r,2,c,2,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1236852,1236853,2,r,2,c,2,c,1,r,1,r,p,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1236853,1239674,2,r,2,c,2,c,1,r,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1239674,1239675,2,r,2,c,2,c,1,r,2,r,s,y,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1239675,1253138,2,r,2,c,2,c,1,r,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1253138,1253139,2,r,2,c,2,c,1,r,3,r,d,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1253139,1260618,2,r,2,c,2,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1260618,1260619,2,r,2,c,2,c,2,rb,4,rb,p,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1260619,1260620,2,r,2,c,2,c,2,rb,5,rb,h,,,,,,,,,,,,,,,,,,,,,,,
34_11,34,11,f,12,11/12/22,11/09/23,w,n,9.7,9.7,74.7,75.1,33,.,33,.,w,1260620,1262760,2,r,2,c,2,c,2,rb,,,,,,,,,,,,,,,,,,,,,,,,,,
